ImagePath,Tags
"assets/images/casual_tshirt.png","casual,cotton,summer,men"
"assets/images/formal_suit.png","formal,office,men"
"assets/images/sporty_jacket.png","sporty,active,men"
"assets/images/summer_dress.jpg","summer,casual"
"assets/images/winter_coat.jpg","winter,wool"
"assets/images/beach_shorts.jpg","summer,swimwear"
"assets/images/office_blazer.jpg","formal,office,gray"
"assets/images/gym_wear.webp","sporty,active"
"assets/images/party_top.png","bright,red,party"
"assets/images/knit_sweater.jpg","winter,neutral,wool"
"assets/images/1 casual.jpg","casual,weekend,plaid,men"
"assets/images/2 casual.jpg","casual,everyday,short-sleeve,men"
"assets/images/3 casual.jpg","casual,relaxed,denim,men"
"assets/images/4 casual.jpg","casual,streetwear,graphic,men"
"assets/images/5 casual.jpg","casual,beach,floral,men"
"assets/images/6 casual.jpg","casual,lightweight,linen,men"
"assets/images/7 casual.jpg","everyday,casual,printed,men"
"assets/images/8 casual.jpg","laid-back,casual,solid,men"
"assets/images/9 casual.jpg","summer,casual,pastel,men"
"assets/images/10 casual.jpg","casual,summer,cotton,men"
"assets/images/11 casual.jpg","relaxed,beach,floral,men"
"assets/images/12 casual.jpg","casual,trendy,washed-look,men"
"assets/images/13 casual.jpg","everyday,soft-touch,regular-fit,men"
"assets/images/14 formal.jpg","formal,office,white,men"
"assets/images/15 formal.jpg","formal,business,blue,men"
"assets/images/16 formal.jpg","formal,workwear,striped,men"
"assets/images/17 formal.jpg","formal,executive,slim-fit,men"
"assets/images/18 formal.jpg","office,professional,black,men"
"assets/images/19 formal.jpg","business,formal,checked,men"
"assets/images/20 formal.jpg","office,gray,full-sleeve,men"
"assets/images/21 formal.jpg","workwear,button-up,navy,men"
"assets/images/22 formal.jpg","formal,regular-fit,solid,men"
"assets/images/23 formal.jpg","corporate,pastel,collared,men"
"assets/images/24 formal.jpg","formal,office,gray,men"
"assets/images/25 jeans.jpg","casual,denim,blue,men"
"assets/images/26 jeans.jpg","streetwear,ripped,black,men"
"assets/images/27 jeans.jpg","casual,slim-fit,dark-wash,men"
"assets/images/28 jeans.jpg","relaxed,everyday,light-wash,men"
"assets/images/29 jeans.jpg","urban,distressed,tapered,men"
"assets/images/30 jeans.jpg","classic,straight-fit,indigo,men"
"assets/images/31 jeans.jpg","casual,high-rise,faded,men"
"assets/images/32 jeans.jpg","minimal,skinny,stretch,men"
"assets/images/33 jeans.jpg","rugged,bootcut,stone-wash,men"
"assets/images/34 jeans.jpg","modern,cropped,men"
"assets/images/35 tshirt.jpg","casual,short-sleeve,cotton,men"
"assets/images/36 tshirt.jpg","everyday,graphic,relaxed-fit,men"
"assets/images/37 tshirt.jpg","streetwear,oversized,print,men"
"assets/images/38 tshirt.jpg","summer,breathable,solid-color,men"
"assets/images/39 tshirt.jpg","casual,round-neck,white,men"
"assets/images/40 tshirt.jpg","urban,minimal,black,men"
"assets/images/41 tshirt.jpg","casual,crew-neck,soft-touch,men"
"assets/images/42 tshirt.jpg","laid-back,slogan,bold,men"
"assets/images/43 tshirt.jpg","chill,vintage,washed,men"
"assets/images/44 tshirt.jpg","casual,pastel,logo,men"
"assets/images/45 coat.jpg","formal,wool,navy,men,wool"
"assets/images/46 coat.jpg","winter,padded,black,men,wool"
"assets/images/47 coat.jpg","business,trench,beige,men"
"assets/images/48 coat.jpg","casual,overcoat,gray,men"
"assets/images/49 coat.jpg","outdoor,parka,olive,men"
"assets/images/50 shoes.jpg","formal,leather,black,men"
"assets/images/51 shoes.jpg","casual,sneakers,white,men"
"assets/images/52 shoes.jpg","sporty,running,breathable,men"
"assets/images/53 shoes.jpg","classic,loafers,brown,men"
"assets/images/54 shoes.jpg","streetwear,high-top,trendy,men"
"assets/images/55 shoes.jpg","casual,slip-on,canvas,men"
"assets/images/56 shoes.jpg","rugged,boots,durable,men"
"assets/images/57 polo.jpg","casual,short-sleeve,cotton,men"
"assets/images/58 polo.jpg","classic,collar,navy,men"
"assets/images/59 polo.jpg","sporty,breathable,white,men"
"assets/images/60 polo.jpg","smart-casual,pique,black,men"
"assets/images/61 polo.jpg","relaxed,striped,soft-touch,men"
"assets/images/62 polo.jpg","weekend,logo,pastel,men"
"assets/images/63 polo.jpg","preppy,fitted,maroon,men"
"assets/images/64 polo.jpg","casual,plain,olive,men"
"assets/images/66 polo.jpg","cool,print,bold,men"
"assets/images/67 suit.jpg","traditional,formal,white,men"
"assets/images/68 suit.jpg","ethnic,embroidered,black,men"
"assets/images/69 suit.jpg","casual,cotton,beige,men"
"assets/images/70 suit.jpg","classic,plain,navy,men"
"assets/images/71 suit.jpg","festive,formal,off-white,men"
"assets/images/72 suit.jpg","traditional,kurta,pastel,men"
"assets/images/73 suit.jpg","semi-formal,self-print,grey,men"
"assets/images/74 suit.jpg","lightweight,everyday,cream,men"
"assets/images/75 suit.jpg","embroidered,premium,blue,men"
"assets/images/76 suit.jpg","simple,regular-fit,brown,men"
"assets/images/77 gymwear.jpg","active,breathable,quick-dry,men"
"assets/images/78 gymwear.jpg","training,t-shirt,performance,men"
"assets/images/79 gymwear.jpg","workout,sleeveless,mesh,men"
"assets/images/80 gymwear.jpg","gym,compression,black,men"
"assets/images/81 gymwear.jpg","fitness,leggings,stretch,men"
"assets/images/82 gymwear.jpg","running,tank-top,lightweight,men"
"assets/images/83 gymwear.jpg","casual,joggers,cotton,men"
"assets/images/84 gymwear.jpg","training,moisture-wicking,grey,men"
"assets/images/85 gymwear.jpg","sporty,fitted,navy,men"
"assets/images/86 shorts.jpg","gymwear,relaxed,bold,men"
"assets/images/87 shorts.jpg","beach,relaxed,drawstring,men"
"assets/images/88 shorts.jpg","summer,printed,fun,men"
"assets/images/89 shorts.jpg","sporty,mesh,quick-dry,men"
"assets/images/90 shorts.jpg","lounge,soft,comfy,men"
"assets/images/91 shorts.jpg","denim,distressed,cool,men"
"assets/images/Abaya women 2.png","formal,outing,event,marriage,women,ladies"
"assets/images/Abaya women.png","outing,cover,casual,women,ladies"
"assets/images/Flower White kurti 1.png","traditional,kurta,pastel,women,ladies"
"assets/images/gymwear 10.jpeg","active,breathable,quick-dry,women"
"assets/images/gymwear 7.jpeg","training,t-shirt,performance,women"
"assets/images/gymwear 8.jpeg","workout,sleeveless,mesh,women"
"assets/images/gymwear 9.jpeg","gym,compression,black,women"
"assets/images/Jacket 2.png","winter,outerwear,winterseason,women,wool"
"assets/images/Jacket 3.png","winter,casual wear,women,wool"
"assets/images/kameez 3.png","formal,office,white,women"
"assets/images/Kurti 2.png","formal,business,blue,women"
"assets/images/kurti 3.png","traditional,formal,white,women,ladies"
"assets/images/kurti 4.png","ethnic,embroidered,black,women,ladies"
"assets/images/kurti 5.png","casual,cotton,beige,women,ladies"
"assets/images/Light Blue Flower kurti 4.png","classic,plain,navy,women,ladies"
"assets/images/Light blue kurti 1.png","festive,formal,off-white,women,ladies"
"assets/images/Light Blue Lining Kurti 2.png","traditional,kurta,pastel,women,ladies"
"assets/images/Light blue shalwar kaameez 4.png","semi-formal,self-print,grey,women,ladies"
"assets/images/Pink lining 3.png","lightweight,everyday,cream,women,ladies"
"assets/images/Pink Shalwar Kameez 5.png","embroidered,premium,blue,women,ladies"
"assets/images/Red Shalwar Kameez 6.png","simple,regular-fit,brown,women,ladies"
"assets/images/Shirts 1.jpeg","casual,weekend,plaid,women,ladies"
"assets/images/Shirts 2.jpeg","casual,everyday,short-sleeve,women,ladies"
"assets/images/Shirts 3.jpeg","casual,relaxed,denim,women,ladies"
"assets/images/Shirts 4.jpeg","casual,streetwear,graphic,women,ladies"
"assets/images/Shirts 5.jpeg","casual,beach,floral,women,ladies"
"assets/images/Shirts 6.jpeg","casual,lightweight,linen,women,ladies"
"assets/images/Shoes 5.jpeg","formal,leather,black,women,ladies"
"assets/images/Shoes 6.jpeg","casual,sneakers,white,women,ladies"
"assets/images/Shoes 7.jpeg","sporty,running,breathable,women,ladies"
"assets/images/Shoes 8.jpeg","classic,loafers,brown,women,ladies"
"assets/images/Yellow 3 piece suit 5.png","workwear,button-up,navy,women"
"assets/images/Yellow kurti 6.png","formal,regular-fit,solid,women"
